season,team,W_PCT,NET_RATING,PLUS_MINUS,E_NET_RATING,PIE,E_OFF_RATING,PTS,OFF_RATING,TS_PCT,E_DEF_RATING
2012-13,Sacramento Kings,0.341,-4.7,-5.1,-5.6,0.454,103.0,105.3,105.3,0.532,108.6
2012-13,San Antonio Spurs,0.707,6.7,6.7,6.8,0.551,105.9,107.0,107.0,0.568,99.2
2012-13,Toronto Raptors,0.415,-1.4,-1.6,-1.7,0.484,102.9,105.0,105.0,0.532,104.7
2012-13,Utah Jazz,0.524,-0.2,-0.1,-0.7,0.504,103.6,105.4,105.4,0.533,104.3
2012-13,Washington Wizards,0.354,-2.3,-2.7,-2.7,0.481,97.8,99.3,99.3,0.512,100.6
2013-14,Atlanta Hawks,0.463,-0.7,-0.5,-0.7,0.502,103.4,104.9,104.9,0.554,104.1
2013-14,Boston Celtics,0.305,-4.6,-4.7,-5.5,0.461,99.7,101.9,101.9,0.517,105.2
2013-14,Brooklyn Nets,0.537,-1.3,-1.1,-0.6,0.492,104.4,105.4,105.4,0.555,104.9
2013-14,Charlotte Hornets,0.524,-0.4,-0.2,0.1,0.508,101.2,103.0,103.0,0.522,101.2
2013-14,Charlotte Bobcats,0.524,-0.4,-0.2,0.1,0.508,101.2,103.0,103.0,0.522,101.2
2013-14,Chicago Bulls,0.585,1.9,2.0,1.9,0.528,99.7,101.7,101.7,0.518,97.8
2013-14,Cleveland Cavaliers,0.402,-3.6,-3.5,-3.5,0.469,101.3,103.5,103.5,0.518,104.8
2013-14,Dallas Mavericks,0.598,2.3,2.5,3.0,0.521,109.0,109.5,109.5,0.564,105.9
2013-14,Denver Nuggets,0.439,-2.2,-2.2,-2.1,0.481,103.3,105.1,105.1,0.536,105.4
2013-14,Detroit Pistons,0.354,-3.7,-3.8,-4.4,0.464,102.9,105.2,105.2,0.514,107.3
2013-14,Golden State Warriors,0.622,4.9,4.9,5.4,0.528,105.3,106.3,106.3,0.55,99.9
2013-14,Houston Rockets,0.659,4.6,4.7,5.5,0.534,108.6,109.8,109.8,0.571,103.1
2013-14,Indiana Pacers,0.683,4.7,4.7,4.8,0.545,101.5,103.6,103.6,0.535,96.7
2013-14,LA Clippers,0.695,7.3,7.2,7.3,0.548,109.4,111.3,111.3,0.567,102.1
2013-14,Los Angeles Clippers,0.695,7.3,7.2,7.3,0.548,109.4,111.3,111.3,0.567,102.1
2013-14,Los Angeles Lakers,0.329,-6.0,-6.3,-6.0,0.46,101.9,103.2,103.2,0.542,107.9
2013-14,Memphis Grizzlies,0.61,1.7,1.7,1.2,0.518,103.3,105.5,105.5,0.529,102.1
2013-14,Miami Heat,0.659,5.1,5.1,6.1,0.539,109.0,110.0,110.0,0.59,102.9
2013-14,Milwaukee Bucks,0.183,-8.3,-8.7,-8.7,0.449,100.2,101.9,101.9,0.519,108.9
2013-14,Minnesota Timberwolves,0.488,2.6,2.7,1.4,0.519,105.6,107.7,107.7,0.535,104.1
2013-14,New Jersey Nets,0.537,-1.3,-1.1,-0.6,0.492,104.4,105.4,105.4,0.555,104.9
2013-14,New Orleans Hornets,0.415,-3.0,-2.9,-2.6,0.483,104.7,106.2,106.2,0.537,107.3
2013-14,New Orleans Pelicans,0.415,-3.0,-2.9,-2.6,0.483,104.7,106.2,106.2,0.537,107.3
2013-14,New York Knicks,0.451,-1.1,-0.9,-1.0,0.49,105.4,107.0,107.0,0.541,106.5
2013-14,Oklahoma City Thunder,0.72,6.4,6.5,7.1,0.543,108.1,109.4,109.4,0.566,101.0
2013-14,Orlando Magic,0.28,-5.7,-5.7,-5.5,0.466,99.3,101.0,101.0,0.525,104.8
2013-14,Philadelphia 76ers,0.232,-10.0,-10.4,-10.7,0.426,96.8,99.0,99.0,0.51,107.5
2013-14,Phoenix Suns,0.585,2.6,2.7,3.3,0.509,107.1,108.2,108.2,0.558,103.8
2013-14,Portland Trail Blazers,0.659,4.2,4.1,3.5,0.524,108.3,110.4,110.4,0.548,104.7
2013-14,Sacramento Kings,0.341,-2.7,-3.0,-3.4,0.473,102.9,105.1,105.1,0.532,106.3
2013-14,San Antonio Spurs,0.756,8.1,8.0,8.1,0.555,108.2,109.5,109.5,0.571,100.1
